0,8,16,24,32,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160,168,176,184,192,200,208,216,224,232,240,248,256,264,272,280,288,296,304,312,320,328,336,344,352,360,368,376,384,392,400,408,416,424,432,440,448,456,464,472,480,488,496,504,512,520,528,536,544,552,560,568,576,584,592,600,608,616,624,632,640,648,656,664,672,680,688,696,704,712,720,728,736,744,752,760,768,776,784,792
37.125,37.125,39.375,39.375,39.375,39.375,39.375,39.375,39.75,39.75,39.75,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.75,39.75,39.75,40.125,39.75,39.75,39.75,40.125,42.0,42.0,42.0,42.0,42.0,42.0,42.0,40.5,40.5,41.25,41.25,41.25,40.5,40.5,40.875,40.875,40.875,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.75,42.75
36.0,36.75,37.875,37.875,37.875,37.875,39.0,39.0,39.0,39.0,39.0,39.375,39.375,39.375,40.125,40.125,39.375,39.375,39.375,39.375,39.375,39.75,39.75,39.75,39.75,39.75,40.125,40.125,40.125,40.125,40.125,41.25,40.125,40.875,40.875,40.875,40.875,40.875,40.875,40.875,40.875,40.875,40.875,40.875,40.875,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.75
36.75,36.75,37.125,37.125,37.125,37.5,37.5,37.875,38.25,39.0,39.0,38.25,38.25,39.375,39.375,39.375,39.375,39.75,39.375,39.75,39.75,39.75,39.75,39.75,40.125,40.125,40.125,40.125,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.5,40.875,40.5,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.375,42.0,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375
37.875,38.625,37.875,37.875,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.75,39.75,39.75,39.75,39.75,39.75,40.125,40.125,40.125,40.125,40.125,40.125,40.125,40.125,40.125,40.125,40.125,40.5,40.5,40.125,40.125,40.125,40.125,40.125,40.125,40.5,40.5,40.5,40.5,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.75,42.375,42.375,42.375,42.375,42.375,42.375,42.75,42.75
36.75,37.125,37.125,37.125,37.125,37.125,37.125,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.75,39.75,39.75,39.75,39.75,39.75,39.75,40.125,40.125,40.125,40.125,39.75,39.75,40.125,40.125,40.5,42.0,40.875,40.875,40.875,40.875,40.875,40.875,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.375,42.0,42.0,42.0,42.375,42.0,42.0,42.0,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75,42.75
37.125,37.125,37.125,37.125,37.125,37.875,37.875,38.25,38.25,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,40.125,39.75,39.75,39.75,40.125,40.125,40.5,40.125,40.125,40.125,40.5,40.5,40.875,41.25,41.25,41.25,41.25,41.25,41.25,41.25,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.75
37.125,37.125,38.25,38.25,38.25,38.25,38.25,38.625,39.375,39.375,39.75,40.125,40.125,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,40.125,40.125,40.125,40.125,40.125,40.125,40.125,40.125,40.125,40.125,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,42.0,42.0,41.25,41.25,41.25,41.25,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.375,42.375,42.375,42.0,42.0,42.0,42.0,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.75,42.75
37.875,37.875,37.875,37.875,38.25,38.25,38.25,38.25,38.25,38.25,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.75,39.75,39.75,40.125,40.125,40.125,40.125,40.125,40.125,39.75,39.75,39.75,39.75,39.75,39.75,40.125,40.5,40.5,40.5,40.5,40.5,40.5,41.25,41.25,42.0,40.875,40.875,40.875,41.25,41.25,41.25,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375
36.75,36.75,36.75,36.75,37.875,37.125,37.125,37.125,37.125,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.75,39.75,39.75,40.125,40.125,40.125,40.125,40.125,40.125,40.125,40.5,40.5,40.5,40.5,40.5,40.5,40.5,41.25,40.5,41.25,41.25,41.25,41.25,41.25,41.25,41.625,41.625,41.625,41.625,41.625,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375
38.25,38.25,37.125,37.125,37.125,37.125,37.125,37.125,37.5,37.5,37.875,37.875,38.25,39.375,39.375,39.375,39.375,39.375,39.375,39.375,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,39.75,40.125,39.75,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.625,41.625,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,41.25,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375,42.375
